Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9285714285714286,389
5.0,2,0.8421052631578948,389
5.0,3,0.8484848484848485,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.8979591836734694,389
5.0,7,0.9433962264150945,389
5.0,8,0.9032258064516129,389
5.0,9,0.6428571428571429,389
5.0,10,0.955223880597015,389
5.0,11,0.9333333333333333,389
5.0,12,0.8799999999999999,389
5.0,1,0.9285714285714286,389
5.0,2,0.8421052631578948,389
5.0,3,0.8484848484848485,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.8979591836734694,389
5.0,7,0.9433962264150945,389
5.0,8,0.9032258064516129,389
5.0,9,0.6428571428571429,389
5.0,10,0.955223880597015,389
5.0,11,0.9333333333333333,389
5.0,12,0.8799999999999999,389
10.0,1,0.9473684210526316,389
10.0,2,0.8717948717948718,389
10.0,3,0.8648648648648649,389
10.0,4,0.8571428571428571,389
10.0,5,0.9130434782608695,389
10.0,6,0.923076923076923,389
10.0,7,0.9433962264150945,389
10.0,8,0.9375,389
10.0,9,0.7333333333333334,389
10.0,10,0.9855072463768115,389
10.0,11,0.9508196721311476,389
10.0,12,0.923076923076923,389
15.0,1,0.9473684210526316,389
15.0,2,0.8717948717948718,389
15.0,3,0.8888888888888888,389
15.0,4,0.8823529411764706,389
15.0,5,0.8936170212765957,389
15.0,6,0.9600000000000001,389
15.0,7,1.0,389
15.0,8,0.9375,389
15.0,9,0.7333333333333334,389
15.0,10,0.9855072463768115,389
15.0,11,0.9508196721311476,389
15.0,12,0.9600000000000001,389
20.0,1,0.9310344827586207,389
20.0,2,0.8292682926829269,389
20.0,3,0.8648648648648649,389
20.0,4,0.8823529411764706,389
20.0,5,0.8936170212765957,389
20.0,6,0.9600000000000001,389
20.0,7,0.9803921568627451,389
20.0,8,0.9090909090909091,389
20.0,9,0.6285714285714286,389
20.0,10,0.9714285714285714,389
20.0,11,0.9508196721311476,389
20.0,12,0.923076923076923,389
25.0,1,0.912280701754386,389
25.0,2,0.8292682926829269,389
25.0,3,0.8888888888888888,389
25.0,4,0.8823529411764706,389
25.0,5,0.8936170212765957,389
25.0,6,0.9600000000000001,389
25.0,7,1.0,389
25.0,8,0.9090909090909091,389
25.0,9,0.6470588235294118,389
25.0,10,0.9714285714285714,389
25.0,11,0.9508196721311476,389
25.0,12,0.8799999999999999,389
30.0,1,0.896551724137931,389
30.0,2,0.8292682926829269,389
30.0,3,0.8888888888888888,389
30.0,4,0.8823529411764706,389
30.0,5,0.8936170212765957,389
30.0,6,0.9600000000000001,389
30.0,7,1.0,389
30.0,8,0.9411764705882353,389
30.0,9,0.6285714285714286,389
30.0,10,0.9714285714285714,389
30.0,11,0.9508196721311476,389
30.0,12,0.8799999999999999,389
35.0,1,0.912280701754386,389
35.0,2,0.7999999999999999,389
35.0,3,0.8888888888888888,389
35.0,4,0.9090909090909091,389
35.0,5,0.8936170212765957,389
35.0,6,0.9600000000000001,389
35.0,7,1.0,389
35.0,8,0.9411764705882353,389
35.0,9,0.6666666666666667,389
35.0,10,0.9714285714285714,389
35.0,11,0.9508196721311476,389
35.0,12,0.8799999999999999,389
40.0,1,0.9310344827586207,389
40.0,2,0.7999999999999999,389
40.0,3,0.8888888888888888,389
40.0,4,0.9090909090909091,389
40.0,5,0.8936170212765957,389
40.0,6,0.9600000000000001,389
40.0,7,1.0,389
40.0,8,0.9411764705882353,389
40.0,9,0.6470588235294118,389
40.0,10,0.9714285714285714,389
40.0,11,0.9508196721311476,389
40.0,12,0.923076923076923,389
45.0,1,0.9310344827586207,389
45.0,2,0.8205128205128205,389
45.0,3,0.8888888888888888,389
45.0,4,0.9090909090909091,389
45.0,5,0.8936170212765957,389
45.0,6,0.9600000000000001,389
45.0,7,1.0,389
45.0,8,0.9411764705882353,389
45.0,9,0.6875,389
45.0,10,0.9714285714285714,389
45.0,11,0.967741935483871,389
45.0,12,0.923076923076923,389
50.0,1,0.9310344827586207,389
50.0,2,0.85,389
50.0,3,0.8888888888888888,389
50.0,4,0.9090909090909091,389
50.0,5,0.9166666666666666,389
50.0,6,0.9600000000000001,389
50.0,7,1.0,389
50.0,8,0.9411764705882353,389
50.0,9,0.6875,389
50.0,10,0.9714285714285714,389
50.0,11,0.967741935483871,389
50.0,12,0.923076923076923,389
