Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7457627118644068,227
0.15,2,0.7499999999999999,227
0.15,3,0.8275862068965517,227
0.15,4,0.7272727272727274,227
0.15,5,0.888888888888889,227
0.15,6,0.5777777777777777,227
0.15,7,0.8108108108108107,227
0.325,1,0.8275862068965518,227
0.325,2,0.7692307692307693,227
0.325,3,0.8571428571428571,227
0.325,4,0.8275862068965517,227
0.325,5,0.9,227
0.325,6,0.6666666666666667,227
0.325,7,0.8000000000000002,227
0.5,1,0.8852459016393444,227
0.5,2,0.7567567567567568,227
0.5,3,0.888888888888889,227
0.5,4,0.8387096774193548,227
0.5,5,0.9523809523809523,227
0.5,6,0.6829268292682927,227
0.5,7,0.8571428571428572,227
0.65,1,0.9032258064516129,227
0.65,2,0.7368421052631579,227
0.65,3,0.9600000000000001,227
0.65,4,0.8387096774193548,227
0.65,5,0.9523809523809523,227
0.65,6,0.7317073170731707,227
0.65,7,0.8571428571428572,227
0.825,1,0.9333333333333333,227
0.825,2,0.7567567567567568,227
0.825,3,1.0,227
0.825,4,0.8125000000000001,227
0.825,5,0.9523809523809523,227
0.825,6,0.6829268292682927,227
0.825,7,0.8292682926829269,227
1.0,1,0.9354838709677419,227
1.0,2,0.7368421052631579,227
1.0,3,0.9600000000000001,227
1.0,4,0.8387096774193548,227
1.0,5,0.9523809523809523,227
1.0,6,0.6976744186046512,227
1.0,7,0.8780487804878048,227
2.0,1,0.90625,227
2.0,2,0.7179487179487181,227
2.0,3,0.923076923076923,227
2.0,4,0.896551724137931,227
2.0,5,0.9767441860465117,227
2.0,6,0.8,227
2.0,7,0.8421052631578948,227
3.0,1,0.9206349206349207,227
3.0,2,0.7567567567567568,227
3.0,3,0.9600000000000001,227
3.0,4,0.9285714285714286,227
3.0,5,0.9767441860465117,227
3.0,6,0.7894736842105263,227
3.0,7,0.8717948717948718,227
4.0,1,0.9032258064516129,227
4.0,2,0.7567567567567568,227
4.0,3,0.9600000000000001,227
4.0,4,0.9285714285714286,227
4.0,5,0.9767441860465117,227
4.0,6,0.8421052631578948,227
4.0,7,0.8292682926829269,227
5.0,1,0.90625,227
5.0,2,0.7567567567567568,227
5.0,3,1.0,227
5.0,4,0.9285714285714286,227
5.0,5,0.9767441860465117,227
5.0,6,0.8205128205128205,227
5.0,7,0.8947368421052632,227
5.0,1,0.90625,227
5.0,2,0.7567567567567568,227
5.0,3,1.0,227
5.0,4,0.9285714285714286,227
5.0,5,0.9767441860465117,227
5.0,6,0.8205128205128205,227
5.0,7,0.8947368421052632,227
10.0,1,0.9206349206349207,227
10.0,2,0.7777777777777778,227
10.0,3,0.9600000000000001,227
10.0,4,0.962962962962963,227
10.0,5,0.9767441860465117,227
10.0,6,0.7894736842105263,227
10.0,7,0.9230769230769231,227
15.0,1,0.9354838709677419,227
15.0,2,0.7777777777777778,227
15.0,3,0.923076923076923,227
15.0,4,0.962962962962963,227
15.0,5,0.9767441860465117,227
15.0,6,0.8571428571428572,227
15.0,7,0.9500000000000001,227
20.0,1,0.9508196721311476,227
20.0,2,0.7777777777777778,227
20.0,3,0.923076923076923,227
20.0,4,0.962962962962963,227
20.0,5,1.0,227
20.0,6,0.9411764705882353,227
20.0,7,0.8947368421052632,227
25.0,1,0.983050847457627,227
25.0,2,0.8235294117647058,227
25.0,3,1.0,227
25.0,4,1.0,227
25.0,5,1.0,227
25.0,6,0.967741935483871,227
25.0,7,0.8648648648648648,227
30.0,1,0.983050847457627,227
30.0,2,0.8484848484848485,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,1.0,227
30.0,6,1.0,227
30.0,7,0.8648648648648648,227
35.0,1,0.983050847457627,227
35.0,2,0.9333333333333333,227
35.0,3,1.0,227
35.0,4,0.9600000000000001,227
35.0,5,0.9767441860465117,227
35.0,6,1.0,227
35.0,7,0.888888888888889,227
40.0,1,0.983050847457627,227
40.0,2,0.9333333333333333,227
40.0,3,1.0,227
40.0,4,1.0,227
40.0,5,0.9767441860465117,227
40.0,6,1.0,227
40.0,7,0.888888888888889,227
45.0,1,0.983050847457627,227
45.0,2,0.9655172413793104,227
45.0,3,1.0,227
45.0,4,0.9600000000000001,227
45.0,5,0.9767441860465117,227
45.0,6,1.0,227
45.0,7,0.888888888888889,227
50.0,1,0.983050847457627,227
50.0,2,0.9655172413793104,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9767441860465117,227
50.0,6,1.0,227
50.0,7,0.888888888888889,227
